"","Gene_name","WT1","WT3","WT4","muMT3","muMT1"
"3841","Camk2n1",10,4,10,6,5
"3842","Camk2n2",3,1,3,2,2
"3843","Camk4",9,10,16,6,1
"3844","Camkk1",1,2,1,1,1
"3845","Camkk2",1,0,1,1,0
"3846","Camkmt",2,0,2,3,0
"3847","Camkv",27,53,33,38,15
"3848","Caml",2,0,1,1,0
"3849","Camp",0,1,0,0,0
"3850","Camsap1",2,2,3,1,0
"3851","Camsap2",10,11,13,8,8
"3852","Camsap3",1,7,6,9,2
"3853","Camta1",10,22,24,17,18
"3854","Camta2",7,11,7,10,8
"3855","Cand1",0,1,2,0,0
"3856","Cand2",203,306,274,343,341
"3857","Cant1",0,0,0,3,0
"3858","Canx",29,28,42,32,16
"3859","Cap1",159,227,246,187,159
"3860","Cap2",6,7,12,6,2
"3861","Capg",1,0,0,0,1
"3862","Capn1",1,3,0,1,0
"3863","Capn10",1,0,1,0,1
"3864","Capn11",0,0,0,0,0
"3865","Capn12",136,267,231,231,190
"3866","Capn13",0,0,0,0,1
"3867","Capn2",146,210,265,231,127
"3868","Capn3",3,2,1,3,4
"3869","Capn5",5,4,9,2,4
"3870","Capn6",0,0,0,0,0
"3871","Capn7",50,64,101,74,50
"3872","Capn8",0,0,0,0,0
"3873","Capn9",1,0,0,0,0
"3874","Capns1",0,0,2,1,1
"3875","Capns2",0,0,0,0,0
"3876","Caprin1",10,10,14,6,4
"3877","Caprin2",0,0,0,0,0
"3878","Caps2",0,0,0,0,0
"3879","Capsl",0,0,0,1,0
"3880","Capza1",2,2,4,0,2
"3881","Capza2",2,2,3,4,1
"3882","Capza3",0,0,0,0,0
"3883","Capzb",2,2,5,5,1
"3884","Car1",0,0,0,0,0
"3885","Car10",0,1,2,1,0
"3886","Car11",1,3,7,1,1
"3887","Car12",1,2,2,1,0
"3888","Car13",0,0,0,0,0
"3889","Car14",49,73,82,64,58
"3890","Car15",0,2,1,0,0
"3891","Car2",0,2,2,2,2
"3892","Car3",0,4,0,0,1
"3893","Car4",0,0,0,1,0
"3894","Car5a",0,0,2,2,0
"3895","Car5b",2,2,3,1,1
"3896","Car6",0,0,0,0,0
"3897","Car7",0,1,0,0,0
"3898","Car8",0,0,0,0,0
"3899","Car9",0,0,2,1,0
"3900","Card10",0,0,0,0,0
"3901","Card11",0,0,0,0,0
"3902","Card14",70,79,103,94,59
"3903","Card6",3,3,5,6,4
"3904","Card9",5,12,17,7,4
"3905","Carf",3,5,12,6,5
"3906","Carhsp1",4,14,16,18,11
"3907","Carkd",3,7,5,7,4
"3908","Carm1",213,281,306,283,265
"3909","Carns1",3,7,4,10,1
"3910","Cars",2,5,2,0,2
"3911","Cars2",0,0,0,0,1
"3912","Cartpt",0,0,0,0,0
"3913","Casc1",2,4,0,3,5
"3914","Casc3",1,2,6,2,3
"3915","Casc4",3,2,5,2,3
"3916","Casc5",0,0,0,0,0
"3917","Casd1",1,2,6,4,2
"3918","Cask",4,5,4,8,2
"3919","Caskin1",22,26,52,39,22
"3920","Caskin2",0,0,2,0,1
"3921","Casp1",0,1,0,0,0
"3922","Casp12",0,0,0,0,0
"3923","Casp14",0,0,0,0,0
"3924","Casp2",0,0,0,0,0
"3925","Casp3",0,0,0,0,0
"3926","Casp4",0,0,0,0,0
"3927","Casp6",3,4,2,1,1
"3928","Casp7",0,1,0,0,2
"3929","Casp8",0,0,0,0,0
"3930","Casp8ap2",0,0,4,1,0
"3931","Casp9",0,0,0,0,0
"3932","Casq1",3,9,9,7,6
"3933","Casq2",0,0,0,0,0
"3934","Casr",0,0,0,0,0
