"","Gene_name","WT1","WT3","WT4","muMT3","muMT1"
"1","0610005C13Rik",3,4,5,7,2
"2","0610007N19Rik",0,0,0,0,0
"3","0610007P14Rik",2,1,2,2,1
"4","0610008F07Rik",0,0,0,0,0
"5","0610009B14Rik",0,0,0,0,0
"6","0610009B22Rik",1,0,1,0,0
"7","0610009D07Rik",1,1,0,0,0
"8","0610009L18Rik",0,0,0,0,0
"9","0610009O20Rik",45,76,56,58,56
"10","0610010B08Rik",0,0,0,0,0
"11","0610010F05Rik",0,1,1,1,0
"12","0610010K14Rik",0,0,1,2,0
"13","0610011F06Rik",0,1,0,2,0
"14","0610012G03Rik",6,15,13,4,6
"15","0610012H03Rik",0,0,0,0,0
"16","0610030E20Rik",8,23,29,29,28
"17","0610031J06Rik",1,0,0,0,0
"18","0610031O16Rik",0,0,0,0,0
"19","0610037L13Rik",1,1,0,0,0
"20","0610038B21Rik",6,5,13,9,5
"21","0610038L08Rik",69,90,133,92,52
"22","0610039K10Rik",407,512,741,558,266
"23","0610040B10Rik",0,0,0,0,0
"24","0610040F04Rik",122,137,193,175,82
"25","0610040J01Rik",1,0,0,0,0
"26","0610043K17Rik",0,0,2,0,0
"27","1100001G20Rik",0,0,0,0,0
"28","1110001A16Rik",150,197,240,201,182
"29","1110001J03Rik",0,0,0,1,0
"30","1110002L01Rik",1376,1771,2156,1660,1297
"31","1110004E09Rik",4,3,8,3,1
"32","1110004F10Rik",3,5,1,5,1
"33","1110006O24Rik",0,0,0,0,0
"34","1110007C09Rik",0,0,0,0,0
"35","1110008F13Rik",2,2,8,2,5
"36","1110008J03Rik",0,0,0,0,0
"37","1110008L16Rik",61,104,126,104,68
"38","1110008P14Rik",1,0,4,0,2
"39","1110012L19Rik",0,2,0,0,0
"40","1110015O18Rik",0,0,0,0,0
"41","1110017D15Rik",0,1,0,0,0
"42","1110018G07Rik",0,1,1,2,0
"43","1110019D14Rik",0,0,0,0,0
"44","1110020A21Rik",0,0,1,0,0
"45","1110025L11Rik",0,0,0,0,0
"46","1110028F11Rik",0,0,0,0,0
"47","1110028F18Rik",0,0,0,0,0
"48","1110032A03Rik",0,1,1,1,1
"49","1110032F04Rik",0,1,3,0,0
"50","1110034G24Rik",0,0,1,0,0
"51","1110035M17Rik",0,0,1,0,0
"52","1110036E04Rik",0,0,0,0,0
"53","1110037F02Rik",2,1,2,0,1
"54","1110038B12Rik",1,0,0,0,0
"55","1110038F14Rik",1,0,1,0,1
"56","1110046J04Rik",1,2,7,2,1
"57","1110051M20Rik",10,15,29,21,9
"58","1110054M08Rik",2,1,3,1,3
"59","1110057K04Rik",0,0,0,0,0
"60","1110058L19Rik",0,1,0,0,0
"61","1110059E24Rik",0,0,2,0,0
"62","1110059G10Rik",0,0,1,0,0
"63","1110059M19Rik",0,0,0,0,0
"64","1110065P20Rik",1,0,1,0,0
"65","1190002F15Rik",0,0,0,0,0
"66","1190002N15Rik",0,1,0,0,3
"67","1190003J15Rik",0,0,0,0,0
"68","1190003K10Rik",0,0,1,0,0
"69","1190005I06Rik",0,1,2,0,0
"70","1190007I07Rik",0,0,0,0,0
"71","1200011I18Rik",1,1,4,0,0
"72","1200014J11Rik",3,2,3,4,0
"73","1300002E11Rik",0,0,1,0,0
"74","1300002K09Rik",0,0,0,0,0
"75","1300015D01Rik",0,0,0,0,0
"76","1300017J02Rik",0,1,4,1,1
"77","1300018J18Rik",196,307,327,255,218
"78","1500002O10Rik",2,3,1,2,2
"79","1500004A13Rik",130,189,237,178,100
"80","1500009C09Rik",20,58,63,48,30
"81","1500009L16Rik",0,0,0,1,1
"82","1500011B03Rik",3,2,1,1,0
"83","1500011K16Rik",0,0,0,2,0
"84","1500012F01Rik",0,3,3,1,2
"85","1500012K07Rik",79,79,151,83,31
"86","1500015A07Rik",0,1,0,0,0
"87","1500015L24Rik",0,0,0,0,0
"88","1500015O10Rik",2,0,4,2,1
"89","1500016L03Rik",0,0,0,0,0
"90","1500017E21Rik",282,507,508,422,301
"91","1500032L24Rik",3,1,2,0,1
"92","1600002D24Rik",0,0,0,0,0
"93","1600002H07Rik",0,2,1,1,2
"94","1600002K03Rik",1,1,1,0,2
"95","1600010M07Rik",0,0,0,0,0
"96","1600012H06Rik",25,67,50,62,54
"97","1600014C10Rik",0,1,0,0,2
"98","1600014C23Rik",0,0,0,0,0
"99","1600014K23Rik",0,0,0,0,0
"100","1600015I10Rik",0,0,0,0,0
"101","1600016N20Rik",0,1,0,1,1
"102","1600019K03Rik",0,0,0,0,0
"103","1600020E01Rik",0,0,0,0,0
"104","1600023N17Rik",0,0,0,0,0
"105","1600025M17Rik",0,0,0,0,0
"106","1600029D21Rik",2,2,3,1,1
"107","1600029I14Rik",0,0,0,0,0
"108","1600029O15Rik",0,0,1,0,0
"109","1700001C02Rik",0,0,0,0,0
"110","1700001C19Rik",0,0,0,0,1
"111","1700001D01Rik",0,0,0,0,0
"112","1700001F09Rik",0,0,0,0,0
"113","1700001G11Rik",104,117,143,127,57
"114","1700001G17Rik",0,0,0,0,0
"115","1700001J03Rik",0,0,0,0,0
"116","1700001J11Rik",0,0,0,0,0
"117","1700001K19Rik",38,50,52,39,29
"118","1700001K23Rik",2,0,3,2,1
"119","1700001L05Rik",0,0,0,0,0
"120","1700001L19Rik",9,27,31,23,11
"121","1700001O22Rik",1,2,0,0,2
"122","1700001P01Rik",0,0,0,0,0
"123","1700003C15Rik",0,0,0,0,0
"124","1700003D09Rik",294,1037,966,755,585
"125","1700003E16Rik",10,18,29,21,14
"126","1700003F12Rik",3,4,2,4,2
"127","1700003F17Rik",3,19,12,15,7
"128","1700003G13Rik",0,0,0,0,0
"129","1700003G18Rik",0,0,0,0,0
"130","1700003H04Rik",0,0,0,0,0
"131","1700003L19Rik",0,0,0,0,0
"132","1700003M02Rik",0,1,0,0,0
"133","1700003M07Rik",0,5,3,2,0
"134","1700003P14Rik",0,0,0,0,0
"135","1700006A11Rik",0,0,0,0,0
"136","1700006E09Rik",0,0,0,0,0
"137","1700006F04Rik",0,0,0,0,0
"138","1700006H21Rik",0,0,0,0,0
"139","1700007B14Rik",0,0,0,0,0
"140","1700007F19Rik",20,33,43,46,16
"141","1700007G11Rik",0,0,0,1,0
"142","1700007J10Rik",29,65,92,47,43
"143","1700007K09Rik",0,0,0,0,0
"144","1700007K13Rik",0,1,1,0,0
"145","1700007L15Rik",0,0,0,0,0
"146","1700007P06Rik",0,0,0,0,0
"147","1700008A04Rik",0,0,0,0,0
"148","1700008F21Rik",3,0,4,3,0
"149","1700008I05Rik",0,0,0,0,0
"150","1700008J07Rik",13,12,34,5,5
"151","1700008K24Rik",0,3,2,1,1
"152","1700008O03Rik",71,109,135,121,108
"153","1700008P02Rik",0,0,0,0,0
"154","1700009C05Rik",0,0,0,0,0
"155","1700009J07Rik",0,0,0,0,0
"156","1700009N14Rik",0,0,0,0,0
"157","1700009P17Rik",0,0,1,0,0
"158","1700010B08Rik",0,0,0,0,0
"159","1700010D01Rik",0,0,0,0,0
"160","1700010I02Rik",0,0,0,0,0
"161","1700010I14Rik",0,0,0,0,0
"162","1700010J16Rik",0,0,0,0,0
"163","1700010K23Rik",435,584,718,647,392
"164","1700011A15Rik",0,0,0,0,0
"165","1700011B04Rik",0,0,0,0,0
"166","1700011E24Rik",0,0,0,0,0
"167","1700011H14Rik",0,0,1,0,0
"168","1700011I03Rik",0,1,0,0,0
"169","1700011J10Rik",12,11,35,7,4
"170","1700011L22Rik",0,0,0,0,0
"171","1700011M02Rik",1,0,0,1,0
"172","1700012A03Rik",0,0,0,0,0
"173","1700012B07Rik",0,0,0,0,0
"174","1700012B09Rik",0,0,0,0,0
"175","1700012B15Rik",185,244,346,283,164
"176","1700012D01Rik",4,5,12,7,4
"177","1700012D14Rik",0,0,2,0,1
"178","1700012I11Rik",0,0,0,0,0
"179","1700012L04Rik",0,0,0,0,0
"180","1700012P22Rik",0,0,0,0,0
"181","1700013D24Rik",0,0,0,0,0
"182","1700013F07Rik",0,0,0,0,0
"183","1700013G23Rik",0,1,0,0,0
"184","1700013G24Rik",0,0,0,0,0
"185","1700013H16Rik",0,0,0,0,0
"186","1700015E13Rik",0,1,2,0,0
"187","1700015F17Rik",0,0,0,0,0
"188","1700015G11Rik",0,0,0,0,0
"189","1700016C15Rik",1,2,2,1,0
"190","1700016D06Rik",0,0,0,0,0
"191","1700016G22Rik",0,0,0,0,0
"192","1700016H13Rik",0,0,0,0,0
"193","1700016K19Rik",0,2,1,0,0
"194","1700016L04Rik",0,1,2,2,1
"195","1700016L21Rik",0,0,0,0,0
"196","1700016P04Rik",0,0,0,0,0
"197","1700017B05Rik",2,2,1,0,0
"198","1700017D01Rik",0,0,0,0,0
"199","1700017G19Rik",2,0,1,0,0
"200","1700017J07Rik",0,0,0,0,0
"201","1700017N19Rik",0,0,0,0,0
"202","1700018A04Rik",0,0,0,0,0
"203","1700018B08Rik",0,0,0,0,0
"204","1700018B24Rik",0,0,0,0,0
"205","1700018C11Rik",0,2,0,0,2
"206","1700018F24Rik",0,0,0,0,0
"207","1700018G05Rik",4,9,4,2,1
"208","1700018L02Rik",101,129,139,116,81
"209","1700019A02Rik",0,0,0,0,0
"210","1700019B03Rik",0,0,1,0,0
"211","1700019B21Rik",0,0,0,0,0
"212","1700019D03Rik",1,2,0,0,0
"213","1700019E08Rik",0,0,0,0,0
"214","1700019G17Rik",1,1,0,0,0
"215","1700019G24Rik",0,0,0,0,0
"216","1700019L03Rik",29,53,45,42,39
"217","1700019M22Rik",0,0,0,0,0
"218","1700019N19Rik",0,0,0,0,0
"219","1700019O17Rik",0,0,0,0,0
"220","1700020A23Rik",3,0,3,1,0
"221","1700020D05Rik",0,0,0,0,0
"222","1700020G17Rik",0,0,0,0,0
"223","1700020I14Rik",0,0,1,1,0
"224","1700020L24Rik",25,43,44,44,30
"225","1700020M21Rik",0,0,0,0,0
"226","1700020N01Rik",0,0,0,0,0
"227","1700020N15Rik",0,0,0,0,0
"228","1700020N18Rik",0,0,0,0,0
"229","1700021F05Rik",3,2,2,1,4
"230","1700021F07Rik",0,0,0,0,0
"231","1700021K19Rik",0,0,1,0,1
"232","1700021N21Rik",1,4,7,5,4
"233","1700022A21Rik",0,0,0,0,0
"234","1700022A22Rik",0,0,0,0,0
"235","1700022E09Rik",0,0,0,0,0
"236","1700022H16Rik",0,0,0,0,0
"237","1700022I11Rik",1,0,0,1,0
"238","1700022P22Rik",1,5,1,4,1
"239","1700023A16Rik",0,0,0,0,0
"240","1700023C21Rik",0,0,0,0,0
"241","1700023E05Rik",0,0,0,0,0
"242","1700023F02Rik",0,0,0,0,0
"243","1700023F06Rik",0,0,0,0,1
"244","1700023L04Rik",0,0,0,0,0
"245","1700024B18Rik",0,1,0,0,0
"246","1700024F13Rik",0,0,0,0,0
"247","1700024G13Rik",0,0,0,0,0
"248","1700024P03Rik",0,0,0,0,0
"249","1700024P04Rik",0,0,0,0,0
"250","1700024P16Rik",0,1,3,0,2
"251","1700025B11Rik",0,0,0,0,0
"252","1700025C18Rik",0,0,0,0,0
"253","1700025E21Rik",0,0,1,0,0
"254","1700025F22Rik",0,0,0,0,0
"255","1700025F24Rik",12,11,15,20,7
"256","1700025G04Rik",1,1,4,3,0
"257","1700025K24Rik",0,0,0,0,0
"258","1700025M24Rik",0,0,0,0,0
"259","1700025N23Rik",0,0,0,0,0
"260","1700026D08Rik",0,0,0,0,0
"261","1700026D11Rik",0,0,0,0,0
"262","1700026F02Rik",0,0,0,0,0
"263","1700026L06Rik",0,0,0,0,0
"264","1700027A15Rik",0,0,0,0,0
"265","1700027F09Rik",0,0,0,0,0
"266","1700027H10Rik",107,115,150,99,66
"267","1700027I24Rik",0,0,0,0,0
"268","1700027J07Rik",0,0,0,0,0
"269","1700028B04Rik",0,0,0,0,0
"270","1700028D13Rik",0,0,0,0,0
"271","1700028E10Rik",0,1,1,1,2
"272","1700028I16Rik",0,0,0,0,0
"273","1700028J19Rik",0,0,0,0,0
"274","1700028K03Rik",85,125,149,94,98
"275","1700028M03Rik",0,0,0,0,0
"276","1700028P14Rik",0,0,0,0,0
"277","1700028P15Rik",0,0,0,0,0
"278","1700029B22Rik",0,0,0,0,0
"279","1700029F12Rik",0,0,0,0,0
"280","1700029H14Rik",0,0,0,0,0
"281","1700029I15Rik",0,0,0,0,0
"282","1700029J03Rik",0,0,0,1,0
"283","1700029J07Rik",0,0,0,0,0
"284","1700029M20Rik",0,0,0,0,0
"285","1700029N11Rik",0,0,0,0,0
"286","1700029P11Rik",0,0,0,0,0
"287","1700030A11Rik",5,3,7,0,0
"288","1700030C10Rik",0,0,0,0,0
"289","1700030F04Rik",0,0,0,0,0
"290","1700030F18Rik",0,1,0,0,0
"291","1700030J22Rik",0,1,2,0,0
"292","1700030K09Rik",13,26,40,32,25
"293","1700030L20Rik",0,0,0,0,0
"294","1700030M09Rik",0,0,0,0,0
"295","1700030N03Rik",0,0,0,0,0
"296","1700030O20Rik",0,0,0,0,0
"297","1700031A10Rik",0,0,0,0,0
"298","1700031F05Rik",0,0,0,0,0
"299","1700031M16Rik",0,0,0,0,0
"300","1700031P21Rik",0,0,0,0,0
"301","1700034E13Rik",0,0,0,0,0
"302","1700034F02Rik",4,15,6,5,4
"303","1700034G24Rik",55,36,66,51,23
"304","1700034H15Rik",24,40,52,26,21
"305","1700034I23Rik",0,0,0,0,0
"306","1700034J05Rik",0,0,0,0,0
"307","1700034K08Rik",0,0,0,0,0
"308","1700034O15Rik",0,0,0,0,0
"309","1700034P13Rik",56,71,147,87,35
"310","1700036G14Rik",0,0,0,0,0
"311","1700037C18Rik",1,1,4,3,5
"312","1700037H04Rik",5,6,11,5,2
"313","1700039E15Rik",1,0,0,0,0
"314","1700039E22Rik",0,0,0,0,0
"315","1700040L02Rik",0,1,0,0,0
"316","1700040N02Rik",142,300,277,369,280
"317","1700041C23Rik",0,0,0,0,0
"318","1700041M19Rik",0,0,0,0,0
"319","1700042B14Rik",0,0,0,0,0
"320","1700042G07Rik",0,0,0,0,0
"321","1700042G15Rik",0,0,0,0,0
"322","1700042O10Rik",0,0,0,0,0
"323","1700044C05Rik",0,0,0,0,0
"324","1700044K03Rik",0,0,0,0,0
"325","1700045H11Rik",0,0,0,0,0
"326","1700045I19Rik",0,0,0,0,0
"327","1700046C09Rik",0,0,0,0,0
"328","1700047E10Rik",0,0,1,0,0
"329","1700047G03Rik",0,0,0,0,0
"330","1700047I17Rik2",6,8,6,10,8
"331","1700047L14Rik",0,0,0,0,0
"332","1700047M11Rik",0,0,0,0,0
"333","1700048M11Rik",0,0,4,3,1
"334","1700048O20Rik",0,0,0,0,0
"335","1700049E15Rik",0,0,0,0,0
"336","1700049E22Rik",0,0,0,0,0
"337","1700049G17Rik",11,12,13,14,16
"338","1700049L16Rik",0,0,0,0,0
"339","1700051A21Rik",3,1,4,1,1
"340","1700052I22Rik",0,0,0,0,0
"341","1700052K11Rik",1,0,2,0,1
"342","1700052N19Rik",1,0,2,0,0
"343","1700054A03Rik",2,1,0,1,0
"344","1700054K19Rik",0,0,0,0,0
"345","1700054M17Rik",0,0,0,0,0
"346","1700054O13Rik",0,0,0,0,0
"347","1700055C04Rik",0,0,0,0,0
"348","1700055N04Rik",0,0,0,0,0
"349","1700056E22Rik",0,0,0,0,0
"350","1700057G04Rik",0,0,0,0,0
"351","1700057H15Rik",0,0,0,0,0
"352","1700058G18Rik",743,1101,1125,1072,904
"353","1700060C16Rik",0,0,0,0,0
"354","1700060C20Rik",0,0,0,0,0
"355","1700061F12Rik",0,0,0,0,0
"356","1700061G19Rik",4,2,10,5,5
"357","1700061I17Rik",0,0,0,0,0
"358","1700063A18Rik",0,0,0,0,0
"359","1700063D05Rik",0,0,0,0,0
"360","1700063O14Rik",0,0,0,0,0
"361","1700064J06Rik",0,0,0,0,0
"362","1700064M15Rik",0,0,0,0,1
"363","1700065D16Rik",0,0,2,1,1
"364","1700065I16Rik",0,0,0,0,0
"365","1700065I17Rik",0,0,0,0,0
"366","1700065J11Rik",0,0,0,0,0
"367","1700065J18Rik",3,2,5,6,6
"368","1700065O20Rik",0,0,0,0,0
"369","1700066B17Rik",0,0,0,0,0
"370","1700066B19Rik",0,0,0,0,0
"371","1700066J24Rik",1365,1807,2082,1773,1319
"372","1700066M21Rik",1,0,1,0,0
"373","1700066N21Rik",0,0,0,0,0
"374","1700066O22Rik",0,0,0,0,0
"375","1700067G17Rik",0,0,1,0,0
"376","1700067K01Rik",25,27,14,26,21
"377","1700067P10Rik",0,0,0,0,0
"378","1700069L16Rik",0,0,0,0,0
"379","1700069P05Rik",0,0,0,0,0
"380","1700071K01Rik",0,1,0,0,0
"381","1700071M16Rik",496,620,779,790,482
"382","1700072B07Rik",0,0,0,0,0
"383","1700072O05Rik",0,0,0,0,0
"384","1700073E17Rik",3,2,1,0,1
"385","1700074H08Rik",0,0,0,0,0
"386","1700074P13Rik",0,0,0,0,0
"387","1700080E11Rik",0,0,0,0,0
"388","1700080N15Rik",1,0,0,0,0
"389","1700080O16Rik",0,0,0,0,0
"390","1700081H04Rik",0,0,0,0,0
"391","1700081H22Rik",0,0,0,0,0
"392","1700084C01Rik",3,4,7,4,4
"393","1700084E18Rik",2,0,4,0,0
"394","1700084F23Rik",0,0,0,0,0
"395","1700084J12Rik",0,0,0,0,0
"396","1700085B03Rik",0,0,0,0,0
"397","1700085C21Rik",0,0,0,0,0
"398","1700086L19Rik",0,4,2,0,1
"399","1700086O06Rik",47,70,100,59,41
"400","1700088E04Rik",329,547,672,554,432
"401","1700091E21Rik",22,25,46,26,22
"402","1700091H14Rik",0,0,0,0,0
"403","1700092C02Rik",0,0,0,0,0
"404","1700092C10Rik",0,0,0,0,0
"405","1700092E19Rik",0,0,0,0,0
"406","1700092K14Rik",0,0,0,0,0
"407","1700092M07Rik",1,1,2,1,0
"408","1700093K21Rik",0,0,0,0,0
"409","1700094D03Rik",0,1,0,0,0
"410","1700094J05Rik",73,56,76,45,23
"411","1700094M24Rik",0,0,0,0,0
"412","1700095A21Rik",0,0,0,0,0
"413","1700095B10Rik",6,5,3,1,2
"414","1700095B22Rik",3,5,9,3,3
"415","1700096J18Rik",3,3,3,2,1
"416","1700096K18Rik",1,0,2,1,1
"417","1700097N02Rik",0,0,1,0,0
"418","1700100L14Rik",0,0,0,0,0
"419","1700101E01Rik",0,0,0,0,0
"420","1700101I11Rik",863,1160,1499,1037,683
"421","1700101O22Rik",0,0,0,0,0
"422","1700102H20Rik",0,0,0,0,0
"423","1700102P08Rik",0,0,0,0,0
"424","1700104A03Rik",0,0,0,0,0
"425","1700105P06Rik",2,4,7,9,1
"426","1700106J16Rik",1,0,0,0,0
"427","1700108F19Rik",0,0,0,0,0
"428","1700108J01Rik",0,0,0,0,0
"429","1700109F18Rik",0,0,0,0,0
"430","1700109G14Rik",0,0,0,0,0
"431","1700109G15Rik",0,0,0,0,0
"432","1700109H08Rik",36,63,50,62,53
"433","1700109I08Rik",0,0,0,0,0
"434","1700110C19Rik",0,0,0,0,0
"435","1700110I01Rik",0,0,0,0,0
"436","1700110K17Rik",71,85,160,90,27
"437","1700110M21Rik",0,0,0,0,0
"438","1700111N16Rik",0,0,0,0,0
"439","1700112E06Rik",0,0,0,0,0
"440","1700112H15Rik",0,0,0,0,0
"441","1700112J05Rik",1,3,0,1,0
"442","1700113A16Rik",588,850,900,872,722
"443","1700113H08Rik",0,0,1,1,0
"444","1700119H24Rik",0,0,0,0,0
"445","1700120C14Rik",195,236,320,254,185
"446","1700120E14Rik",0,2,0,0,0
"447","1700120G07Rik",0,0,0,0,0
"448","1700120K04Rik",5,10,14,7,7
"449","1700121L16Rik",0,0,0,0,0
"450","1700121N20Rik",0,0,1,0,1
"451","1700122O11Rik",0,0,0,0,0
"452","1700123I01Rik",0,0,0,0,1
"453","1700123K08Rik",0,0,0,0,0
"454","1700123L14Rik",0,0,1,0,0
"455","1700123M08Rik",0,0,0,0,0
"456","1700123O12Rik",0,0,0,0,0
"457","1700123O20Rik",30,44,42,24,22
"458","1700123O21Rik",0,0,0,0,0
"459","1700125G02Rik",2,6,6,6,4
"460","1700125G22Rik",0,0,0,0,0
"461","1700125H03Rik",0,0,0,2,0
"462","1700125H20Rik",0,0,0,0,0
"463","1700126H18Rik",0,0,0,0,0
"464","1700128A07Rik",0,0,0,0,0
"465","1700128F08Rik",0,0,0,0,0
"466","1700129C05Rik",0,0,0,0,0
"467","1810006J02Rik",0,0,0,0,0
"468","1810007C17Rik",2,1,0,2,0
"469","1810007D17Rik",0,0,0,0,0
"470","1810007I06Rik",0,0,0,0,0
"471","1810008I18Rik",0,0,0,0,0
"472","1810009A15Rik",4,2,2,2,3
"473","1810009J06Rik",0,0,0,0,0
"474","1810010D01Rik",0,0,0,0,0
"475","1810010H24Rik",3,5,0,4,2
"476","1810011H11Rik",0,0,0,0,0
"477","1810011O10Rik",0,1,0,0,2
"478","1810012K16Rik",0,0,0,0,0
"479","1810013A23Rik",0,0,0,0,0
"480","1810013D10Rik",0,0,0,0,0
"481","1810013L24Rik",1,4,4,2,1
"482","1810014B01Rik",0,0,0,0,0
"483","1810018F18Rik",0,0,0,0,0
"484","1810019D21Rik",0,0,0,0,1
"485","1810019J16Rik",0,0,0,0,0
"486","1810020O05Rik",2,4,0,3,4
"487","1810021B22Rik",29,48,56,43,29
"488","1810022K09Rik",3,4,3,3,0
"489","1810024B03Rik",0,0,0,0,0
"490","1810026B05Rik",0,2,0,0,0
"491","1810026J23Rik",25,33,38,35,24
"492","1810030O07Rik",0,0,1,0,0
"493","1810032O08Rik",0,0,0,1,0
"494","1810033B17Rik",0,0,0,0,0
"495","1810034E14Rik",1,2,1,0,0
"496","1810035I16Rik",0,0,0,0,0
"497","1810037I17Rik",0,0,1,0,1
"498","1810041L15Rik",2,1,0,1,2
"499","1810043G02Rik",17,23,28,20,22
"500","1810043H04Rik",1,1,1,0,0
"501","1810044D09Rik",1,0,1,0,0
"502","1810046K07Rik",0,0,1,0,0
"503","1810053B23Rik",0,0,0,0,0
"504","1810055G02Rik",0,1,0,0,0
"505","1810058I24Rik",1,0,0,0,0
"506","1810062G17Rik",0,0,0,1,0
"507","1810062O18Rik",69,83,122,67,42
"508","1810064F22Rik",0,0,0,0,0
"509","1810065E05Rik",0,0,0,0,0
"510","2010001E11Rik",0,2,2,0,0
"511","2010001M06Rik",22,37,40,43,24
"512","2010002M12Rik",0,0,0,0,0
"513","2010003K11Rik",0,0,0,0,0
"514","2010003O02Rik",1,7,16,10,2
"515","2010005H15Rik",0,0,0,0,0
"516","2010009K17Rik",4,9,3,7,3
"517","2010010A06Rik",2,0,1,1,1
"518","2010012O05Rik",2,3,5,8,3
"519","2010015L04Rik",0,6,4,2,2
"520","2010016I18Rik",1,2,0,3,1
"521","2010106C02Rik",0,1,0,0,0
"522","2010106E10Rik",0,0,0,0,0
"523","2010107E04Rik",0,0,0,2,0
"524","2010107G12Rik",0,0,1,0,0
"525","2010107G23Rik",0,1,0,0,0
"526","2010109A12Rik",0,0,0,0,0
"527","2010109I03Rik",0,0,0,0,0
"528","2010111I01Rik",0,0,0,1,0
"529","2010204K13Rik",0,0,0,0,0
"530","2010300C02Rik",3,7,17,7,10
"531","2010308F09Rik",0,0,0,0,0
"532","2010310C07Rik",0,0,0,0,0
"533","2010315B03Rik",0,0,0,0,0
"534","2010320M18Rik",0,0,0,0,1
"535","2200002D01Rik",11,21,23,23,28
"536","2200002J24Rik",0,0,0,0,0
"537","2210010C04Rik",0,0,0,0,0
"538","2210013O21Rik",0,0,0,3,1
"539","2210015D19Rik",19,16,35,15,12
"540","2210016F16Rik",0,0,0,1,1
"541","2210016L21Rik",2,4,5,3,2
"542","2210018M11Rik",1,2,5,1,0
"543","2210019I11Rik",0,0,0,0,0
"544","2210039B01Rik",0,0,0,1,0
"545","2210404J11Rik",0,0,0,0,0
"546","2210404O07Rik",1,0,1,0,0
"547","2210404O09Rik",0,0,0,0,0
"548","2210407C18Rik",0,0,0,0,0
"549","2210408F21Rik",3,1,5,1,0
"550","2210408I21Rik",0,0,0,0,0
"551","2210409D07Rik",0,0,0,0,0
"552","2210409E12Rik",0,0,1,0,0
"553","2210414B05Rik",0,0,0,0,0
"554","2210416O15Rik",8,16,13,15,10
"555","2210417A02Rik",0,0,0,0,0
"556","2210417K05Rik",0,0,0,1,0
"557","2210420H20Rik",0,0,0,0,0
"558","2300002M23Rik",0,0,0,0,0
"559","2300003K06Rik",0,0,0,0,0
"560","2300005B03Rik",0,0,0,0,0
"561","2300009A05Rik",0,0,0,0,0
"562","2310001H17Rik",0,0,0,0,0
"563","2310001K24Rik",13,15,31,18,12
"564","2310002D06Rik",12,22,21,16,13
"565","2310002F09Rik",0,0,0,0,0
"566","2310002J15Rik",0,0,0,0,0
"567","2310002L09Rik",0,0,0,0,0
"568","2310003H01Rik",0,3,6,0,0
"569","2310005A03Rik",0,2,0,0,0
"570","2310005E17Rik",0,0,0,0,0
"571","2310005G13Rik",0,0,0,0,0
"572","2310007B03Rik",0,0,0,0,0
"573","2310007L24Rik",0,1,0,0,0
"574","2310008H04Rik",2,7,2,4,3
"575","2310008H09Rik",22,52,53,41,39
"576","2310008N11Rik",0,0,0,0,0
"577","2310009A05Rik",0,0,1,0,1
"578","2310009B15Rik",1,0,0,0,0
"579","2310010J17Rik",0,0,0,0,0
"580","2310010M20Rik",0,0,0,0,0
"581","2310011J03Rik",7,4,4,1,3
"582","2310014F07Rik",1,3,4,6,1
"583","2310014L17Rik",0,2,2,0,1
"584","2310015A10Rik",1,5,7,3,4
"585","2310015B20Rik",0,0,0,0,0
"586","2310015D24Rik",0,0,0,0,0
"587","2310016D03Rik",0,0,0,0,0
"588","2310020H05Rik",1,1,0,0,1
"589","2310022A10Rik",0,0,0,0,0
"590","2310022B05Rik",2,2,2,0,0
"591","2310030A07Rik",0,0,0,0,0
"592","2310030G06Rik",1,0,0,0,0
"593","2310033P09Rik",5,4,7,2,0
"594","2310034C09Rik",0,0,0,0,0
"595","2310034G01Rik",0,0,0,0,1
"596","2310034O05Rik",0,0,0,0,0
"597","2310035C23Rik",3,2,3,1,0
"598","2310036O22Rik",3,9,5,11,2
"599","2310039H08Rik",2,4,2,1,1
"600","2310039L15Rik",1,0,0,0,0
"601","2310040G24Rik",0,0,0,0,0
"602","2310042D19Rik",17,24,35,36,22
"603","2310042E22Rik",2,0,2,1,1
"604","2310043L19Rik",0,0,0,0,0
"605","2310043O21Rik",0,0,0,0,0
"606","2310044G17Rik",1,1,1,0,1
"607","2310045N01Rik",0,0,0,0,0
"608","2310047M10Rik",3,9,8,11,4
"609","2310050B05Rik",260,306,422,301,228
"610","2310050C09Rik",0,0,0,0,0
"611","2310057J18Rik",0,0,0,0,0
"612","2310057M21Rik",0,0,0,6,3
"613","2310057N15Rik",0,0,0,0,0
"614","2310061I04Rik",0,2,0,0,0
"615","2310061J03Rik",47,42,74,34,14
"616","2310061N02Rik",0,0,0,0,0
"617","2310065F04Rik",0,0,0,0,0
"618","2310067B10Rik",2,3,0,3,3
"619","2310068J16Rik",13,9,34,16,3
"620","2310069B03Rik",0,0,0,0,0
"621","2310069G16Rik",16,27,40,33,22
"622","2310079G19Rik",0,0,0,0,0
"623","2310081J21Rik",0,0,0,0,0
"624","2410002F23Rik",1,2,1,0,1
"625","2410003L11Rik",0,0,0,0,0
"626","2410004B18Rik",0,0,0,0,1
"627","2410004I01Rik",0,0,0,0,0
"628","2410004N09Rik",0,0,0,0,0
"629","2410004P03Rik",0,1,0,1,2
"630","2410006H16Rik",8,2,4,1,5
"631","2410007B07Rik",0,0,0,0,0
"632","2410012E07Rik",0,0,0,0,0
"633","2410012M07Rik",0,0,0,0,0
"634","2410015M20Rik",1,3,0,2,0
