"","WT1","WT2","WT3","muMT1","muMT2"
"Msc",18,26,23,19,25
"Gm37412",15,16,16,8,14
"Smt3h2-ps4",0,0,1,0,0
"Rpl5-ps1",1,0,1,6,1
"Trpa1",10,9,14,7,11
"Gm26345",0,0,0,0,0
"Gm10566",1,1,2,3,3
"Kcnb2",400,397,591,294,419
"Gm38116",0,0,0,0,0
"Gm37138",0,1,1,0,0
"Gm25227",0,0,0,0,0
"Gm25168",0,0,0,0,0
"Gm6060",0,0,0,0,0
"Gm28669",0,0,0,0,0
"Terf1",113,154,200,96,129
"Gm37509",2,4,6,1,1
"Sbspon",2,8,12,10,5
"Gm23259",0,0,0,0,0
"Gm7634",0,0,0,0,0
"4930444P10Rik",4,11,13,11,10
"Rpl7",6007,9477,9404,8048,9642
"Rdh10",194,398,444,217,332
"Gm38249",1,3,1,0,0
"Gm28095",0,0,1,2,1
"Stau2",2264,3092,3724,1945,3161
"Gm7568",0,0,0,0,0
"Ube2w",1161,1706,1913,1160,1827
"Gm38342",14,10,12,7,4
"Eloc",2468,3689,3770,2598,3452
"D030040B21Rik",0,0,0,0,0
"Gm7654",1,1,0,0,0
"Tmem70",783,1232,1314,958,1262
"Ly96",8,18,21,12,17
"Gm29649",0,0,0,0,0
"Gm5828",0,0,3,0,2
"Gm28376",0,0,0,0,0
"4921511E07Rik",0,0,0,0,0
"Jph1",800,1240,1571,773,1274
"Gm28783",0,0,0,0,0
"Gdap1",2235,2938,3782,1833,2974
"Gm28784",1,0,2,0,0
"Gm28785",0,0,0,0,0
"Gm5251",1,0,0,0,1
"Rbm6-ps1",2,5,7,2,5
"Gm6075",0,0,0,1,0
"Gm25166",0,0,0,0,0
"Pi15",20,33,50,16,37
"Gm28154",0,0,1,0,2
"Gm16070",3,7,12,4,7
"Crispld1",103,133,180,90,147
"Gm28153",0,1,0,0,1
"Gm7690",0,0,0,0,0
"Gm18775",0,1,0,0,0
"Gm17969",1,3,2,1,0
"Gm28756",51,57,82,62,69
"Gm28755",0,0,0,0,0
"Gm45784",0,0,0,0,0
"Crisp4",0,0,0,0,0
"Defb44-ps",0,0,0,0,0
"Defb18",0,0,0,0,0
"Defb41",0,0,0,0,0
"Gm17837",0,0,2,0,0
"Gm5252",0,0,0,0,0
"Gm24075",0,0,0,0,0
"Gm28343",0,0,0,0,0
"Gm28344",0,0,0,0,0
"Gm15825",0,0,0,0,0
"Tfap2d",0,2,1,0,0
"Gm10075",0,0,1,0,0
"Tfap2b",4,9,8,2,7
"Gm28340",0,0,0,0,0
"Gm28341",0,0,0,0,0
"Gm4849",0,0,0,0,1
"Gm24633",0,0,0,0,0
"Gm38382",0,0,0,0,0
"Pkhd1",1,1,0,0,0
"Gm37315",0,0,0,0,0
"4930486I03Rik",0,0,0,0,0
"Gm15795",0,0,0,0,0
"Gm24162",0,0,0,0,0
"Gm28653",0,0,0,0,0
"Mir206",0,0,0,0,0
"Mir133b",0,0,0,0,0
"Il17a",0,0,0,0,0
"Il17f",1,0,0,0,0
"Mcm3",68,94,122,79,91
"Gm20587",0,0,2,0,0
"Gm28065",0,0,0,0,0
"Gm24723",0,0,0,0,0
"6720483E21Rik",5,6,12,1,4
"Paqr8",4430,5275,6682,3431,5185
"Gm24171",0,0,0,0,0
"Gm28064",8,3,8,1,7
"Efhc1",15,73,84,50,64
"Tram2",24,46,69,28,48
"Gm28287",0,0,0,0,0
"Gm2693",3,4,6,3,2
"Tmem14a",474,676,709,503,710
"Gm38224",0,1,2,2,3
"Gsta3",14,21,13,12,20
"Gm28836",0,1,3,2,1
"Gm7094",0,2,7,5,2
"Gm4956",2,3,0,4,0
"Gm21909",0,0,0,0,0
"Khdc1a",0,0,0,0,0
"Gm16329",0,0,0,0,0
"Gm16327",0,0,0,0,0
"Khdc1c",0,0,0,1,1
"Gm2709",0,0,0,0,0
"Gm16533",0,0,0,0,0
"Khdc1b",0,0,0,0,0
"Gm16328",0,0,0,0,0
"Kcnq5",1234,1555,1983,821,1590
"Gm36949",1,0,0,0,0
"Gm7658",5,15,2,6,12
"Gm38243",0,0,0,0,0
"Gm26580",20,28,28,12,22
"Gm5696",0,0,0,0,0
"Gm28239",0,0,0,0,0
"Rims1",505,446,730,229,471
"Gm26866",0,0,0,0,0
"Gm7761",0,1,0,0,0
"Gm29506",1,0,0,0,0
"4933415F23Rik",0,1,0,1,0
"Gm24176",0,0,0,0,0
"Gm6420",0,0,1,0,0
"Mir30a",0,0,0,0,0
"Gm27028",2,5,2,1,0
"Mir30c-2",0,0,0,0,0
"Gm29107",0,0,0,0,0
"Gm20954",0,0,0,0,0
"Ogfrl1",4466,6798,7343,4182,6334
"Gm7784",0,0,0,1,2
"Gm28822",1,0,0,0,1
"B3gat2",306,379,435,233,356
"Smap1",285,381,471,234,338
"Sdhaf4",229,380,352,351,401
"Gm26524",0,0,0,0,0
"Fam135a",392,544,803,252,512
"Gm37580",5,6,9,4,5
"Gm26607",0,0,0,0,0
"Col9a1",6,14,14,9,12
"Col19a1",32,31,68,13,22
"Gm26418",0,0,0,0,0
"Tubb4b-ps2",1,4,4,2,1
"Gm28439",33,34,84,21,25
"Gm10222",2,10,12,5,1
"Gm28438",7,14,16,7,2
"Gm28437",98,166,228,122,148
"Gm10925",74,96,145,72,81
"Gm28661",66,95,164,92,87
"Gm29216",102,142,223,112,107
"Lmbrd1",2878,3582,4637,2523,3417
"Gm28594",0,0,0,0,0
"Gm28237",0,0,0,0,0
"Gm9443",0,0,0,0,0
"Gm29414",0,0,0,0,0
"Adgrb3",1287,1852,2372,1190,1786
"Gm15702",0,0,0,0,0
"Gm20172",1,0,0,0,0
"Gm22260",0,0,0,2,0
"Gm37543",0,0,0,0,0
"Gm37331",1,0,0,0,2
"Gm37211",0,0,0,0,0
"Gm37862",0,0,0,0,1
"Gm38286",0,0,0,0,1
"Gm37880",3,0,0,0,0
"Gm25294",0,0,0,0,0
"Gm37011",0,0,0,0,0
"Gm29214",0,0,0,0,1
"Gm37051",0,0,0,0,0
"Gm38260",0,0,0,0,0
"Gm37628",0,0,0,0,0
"8030445P17Rik",0,0,0,0,0
"Gm38198",1,3,1,0,2
"Gm37077",1,0,0,1,0
"Gm37895",0,1,0,0,0
"Gm36952",1,0,1,1,1
"Gm37602",1,0,0,0,3
"2900022M07Rik",4,4,3,1,3
"2900002M20Rik",0,0,0,0,0
"Gm9884",8,15,14,4,7
"Gm18443",0,0,0,0,0
"Gm19123",0,0,0,0,0
"Gm24064",0,0,0,0,0
"4931408C20Rik",0,0,0,0,0
"n-R5s209",0,0,0,0,0
"Gm19641",0,0,0,0,0
"Gm5524",0,0,0,0,0
"Gm18776",0,0,0,0,0
"Gm19028",0,0,0,0,0
"Gm38089",0,0,0,0,0
"Gm7846",0,1,0,1,4
"Gm597",0,0,0,0,0
"Gm5697",0,0,0,0,0
"Gm6462",0,0,0,0,0
"Gm18033",0,0,0,0,0
"Gm25586",0,0,0,0,0
"Gm22679",0,0,0,0,0
"Gm23785",0,0,0,0,0
"Mir6342",0,0,0,0,0
"Gm5525",4,5,1,2,3
"Gm7858",0,0,0,0,0
"Gm23771",0,0,0,0,0
"Gm27430",0,0,0,0,0
"Gm9898",0,2,7,0,2
"Gm6473",0,1,1,0,0
"Gm2914",0,0,0,0,0
"Phf3",1163,1610,2044,1024,1592
"Gm37522",0,0,0,0,1
"Gm37906",0,0,1,0,0
"Ptp4a1",644,888,1100,621,920
"AC153137.1",0,0,0,0,0
"Gm9458",0,0,0,0,0
"4931428L18Rik",0,0,0,0,0
"Gm28644",0,0,0,0,0
"Gm27362",0,0,0,0,0
"Gm29128",0,0,0,0,0
"Gm7893",0,0,0,0,0
"Lgsn",0,0,0,0,0
"Pih1d3",0,0,0,0,0
"Gm26145",0,0,0,0,0
"Gm4850",0,0,0,0,0
"Gm28645",0,0,0,0,0
"Gm6489",0,0,0,0,0
"Gm10307",0,0,0,0,0
"Gm19680",1,0,1,0,1
"Gm23032",0,0,0,0,0
"Gm7910",0,0,0,0,0
"Khdrbs2",116,122,157,103,129
"Gm25814",0,0,1,0,0
"Gm37999",7,2,5,5,1
"Gm37110",0,0,0,0,0
"Gm37911",0,0,0,0,0
"Gm9839",2,1,2,2,3
"Gm37792",1,2,0,0,1
"Gm5415",7,7,7,1,2
"Gm24732",0,0,0,0,0
"Gm37426",1,0,1,2,0
"Gm23024",0,0,0,0,0
"Gm37151",0,0,0,0,0
"Gm28624",0,0,0,0,0
"Gm37724",0,0,0,0,0
"Gm7114",0,0,4,1,2
"Gm4785",0,0,0,0,1
"Gm24901",0,0,0,0,0
"Gm37591",0,0,0,0,0
"Gm2987",0,0,0,0,0
"Gm25792",0,0,0,0,0
"Gm18799",0,0,0,0,0
"Gm7933",0,1,0,0,0
"Gm23453",0,0,0,0,0
"Prim2",48,87,65,66,74
"Gm29228",0,0,0,0,0
"Gm37618",0,0,0,0,0
"Gm17813",0,0,0,0,0
"1700001G17Rik",2,6,13,11,12
"Gm38173",0,0,1,2,0
"Rab23",516,644,834,437,678
"Bag2",147,226,269,168,217
"Gm37905",0,0,0,0,0
