"","Veh1","Veh2","STZ1","STZ2","STZ3"
"Slc7a7",100,95,106,90,184
"Oxa1l",2331,2286,2511,2229,2336
"Heatr6",2058,2001,2418,2092,2181
"Ccl3",10,8,11,28,105
"Wfdc18",26,23,12,22,5
"Icam4",45,32,32,48,45
"Ilf2",4840,4822,5535,4898,4674
"Chtop",8365,8509,9456,8550,8509
"Snapin",2251,2311,2430,2476,2428
"S100a4",17,22,18,24,53
"S100a3",52,50,39,33,22
"S100a5",0,2,3,2,2
"S100a6",354,480,337,453,826
"Scn4a",5,12,5,4,10
"Icam2",48,75,46,78,47
"Mapk7",1348,1340,1220,1221,1344
"Epn2",14689,13099,14682,12715,14724
"B9d1",652,671,760,635,623
"Sec24b",6314,5884,6369,6333,6332
"N4bp3",788,832,699,724,705
"Rmnd5b",2649,2523,2711,2518,2605
"Nhp2",1163,1301,1394,1126,1268
"Vps9d1",2999,2817,3273,3098,2668
"Zfp276",1589,1506,1616,1563,1472
"C1ql4",0,0,0,0,0
"Mfsd10",685,774,786,785,699
"Luzp1",15255,12282,13625,12868,13872
"Slc13a2",0,2,2,1,0
"Kctd10",3232,3440,3509,3007,3349
"Poldip2",4760,4718,5055,4842,4506
"Sebox",246,226,187,226,256
"Ift20",1918,1961,2012,1940,1837
"Col6a1",2118,2805,3082,2182,2741
"Pcbp3",2574,2736,2744,2403,2322
"Lgals9",182,266,300,335,480
"Araf",9090,8605,10400,8790,8765
"Cfp",754,595,670,658,874
"Timp1",4,16,20,22,152
"Uxt",348,333,387,349,341
"Cnnm3",2522,2773,2614,2539,2443
"Lman2l",5098,4465,5357,4055,5063
"Mcm3ap",5947,5658,6391,6093,5852
"Pcnt",5135,4941,5741,5793,4773
"Ftcd",2,4,4,10,5
"Mxd1",2158,1979,2080,2272,2015
"Gmcl1",2835,2714,3089,2894,2716
"Snrnp27",2055,1939,2264,2064,2179
"Oas1c",32,46,38,54,37
"Oas1h",0,0,0,0,0
"Ocrl",9515,8841,10261,9179,9230
"Calm1",216541,198246,234091,212853,219036
"Agpat3",16938,16482,17159,16813,16647
"Slc26a3",41,39,26,7,17
"Sema6b",7408,7613,8272,7617,7648
"Uhrf1",66,96,71,82,107
"Dpp9",4197,3829,4698,3917,4014
"Ramp2",819,822,852,827,795
"Lsr",320,393,315,213,173
"Gramd1a",5967,5911,7064,6438,6154
"Hpn",116,91,92,123,143
"Gabrg1",2487,2583,2842,2541,2401
"Ckb",36515,39369,39705,38833,36650
"Sp1",4266,4594,4654,4287,4369
"Itgb7",37,49,35,28,78
"Myg1",1267,1210,1392,1298,1294
"Rarg",749,779,780,787,669
"Pfdn5",5742,5315,6078,5631,5871
"Efnb2",3576,3751,4859,3824,3799
"Rrp15",736,768,830,932,826
"Rnd2",2385,2521,2803,2385,2587
"Srr",8659,8300,9597,8532,8906
"Sync",69,69,127,76,78
"Fndc5",4435,4221,4672,4383,4390
"Acp5",20,26,22,6,247
"Cnn1",4,14,12,24,17
"Fbxo9",4066,3959,4420,4250,4079
"Ccdc132",7242,6407,7396,7135,7078
"Hars",4756,4717,4952,4665,4583
"Zmat2",9238,8594,9862,8770,9303
"Ube2c",15,11,10,9,32
"Smg5",5739,5263,5759,5619,5529
"Cct3",6889,6322,7299,6290,6793
"Glmp",1635,1736,1484,1505,1790
